2022-04-19 22:11:26.571459: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
Epoch 180. Train Loss: 0.061132, Train Acc: 0.985686, Time 00:00:04
Epoch 181. Train Loss: 0.060723, Train Acc: 0.986278, Time 00:00:03
Epoch 182. Train Loss: 0.068757, Train Acc: 0.983416, Time 00:00:03
Epoch 183. Train Loss: 0.060375, Train Acc: 0.984896, Time 00:00:03
Epoch 184. Train Loss: 0.055601, Train Acc: 0.988450, Time 00:00:03
Epoch 185. Train Loss: 0.058145, Train Acc: 0.988253, Time 00:00:03
Epoch 186. Train Loss: 0.059332, Train Acc: 0.987266, Time 00:00:03
Epoch 187. Train Loss: 0.061080, Train Acc: 0.985982, Time 00:00:03
Epoch 188. Train Loss: 0.061775, Train Acc: 0.986180, Time 00:00:03
Epoch 189. Train Loss: 0.058258, Train Acc: 0.986476, Time 00:00:03
Epoch 190. Train Loss: 0.060294, Train Acc: 0.985587, Time 00:00:03
Epoch 191. Train Loss: 0.053370, Train Acc: 0.989240, Time 00:00:03
Epoch 192. Train Loss: 0.058713, Train Acc: 0.986476, Time 00:00:03
Epoch 193. Train Loss: 0.059674, Train Acc: 0.985686, Time 00:00:04
Epoch 194. Train Loss: 0.055080, Train Acc: 0.987660, Time 00:00:03
Epoch 195. Train Loss: 0.057156, Train Acc: 0.987660, Time 00:00:03
Epoch 196. Train Loss: 0.057332, Train Acc: 0.986278, Time 00:00:03
Epoch 197. Train Loss: 0.053089, Train Acc: 0.988944, Time 00:00:03
Epoch 198. Train Loss: 0.052559, Train Acc: 0.989141, Time 00:00:02
Epoch 199. Train Loss: 0.054500, Train Acc: 0.988450, Time 00:00:03
Epoch 200. Train Loss: 0.056126, Train Acc: 0.987562, Time 00:00:03
Epoch 201. Train Loss: 0.058663, Train Acc: 0.986180, Time 00:00:03
Epoch 202. Train Loss: 0.053857, Train Acc: 0.985686, Time 00:00:03
Epoch 203. Train Loss: 0.050325, Train Acc: 0.990128, Time 00:00:03
Epoch 204. Train Loss: 0.059316, Train Acc: 0.985785, Time 00:00:03
Epoch 205. Train Loss: 0.052671, Train Acc: 0.988055, Time 00:00:03
Epoch 206. Train Loss: 0.050903, Train Acc: 0.989437, Time 00:00:03
Epoch 207. Train Loss: 0.047892, Train Acc: 0.990918, Time 00:00:03
Epoch 208. Train Loss: 0.048583, Train Acc: 0.989042, Time 00:00:03
Epoch 209. Train Loss: 0.048365, Train Acc: 0.990523, Time 00:00:03
Epoch 210. Train Loss: 0.050088, Train Acc: 0.990326, Time 00:00:03
Epoch 211. Train Loss: 0.053871, Train Acc: 0.987068, Time 00:00:03
Epoch 212. Train Loss: 0.052049, Train Acc: 0.988746, Time 00:00:03
Epoch 213. Train Loss: 0.052245, Train Acc: 0.988845, Time 00:00:03
Epoch 214. Train Loss: 0.049638, Train Acc: 0.989536, Time 00:00:03
Epoch 215. Train Loss: 0.049518, Train Acc: 0.989042, Time 00:00:03
Epoch 216. Train Loss: 0.051621, Train Acc: 0.989733, Time 00:00:03
Epoch 217. Train Loss: 0.047625, Train Acc: 0.989635, Time 00:00:03
Epoch 218. Train Loss: 0.047504, Train Acc: 0.990227, Time 00:00:03
Epoch 219. Train Loss: 0.051096, Train Acc: 0.989536, Time 00:00:03
Epoch 220. Train Loss: 0.049069, Train Acc: 0.990326, Time 00:00:03
Epoch 221. Train Loss: 0.049780, Train Acc: 0.988944, Time 00:00:03
Epoch 222. Train Loss: 0.044567, Train Acc: 0.991510, Time 00:00:03
Epoch 223. Train Loss: 0.047091, Train Acc: 0.989635, Time 00:00:03
Epoch 224. Train Loss: 0.050914, Train Acc: 0.989536, Time 00:00:03
Epoch 225. Train Loss: 0.045079, Train Acc: 0.990819, Time 00:00:03
Epoch 226. Train Loss: 0.048454, Train Acc: 0.989141, Time 00:00:03
Epoch 227. Train Loss: 0.047867, Train Acc: 0.991017, Time 00:00:03
Epoch 228. Train Loss: 0.044727, Train Acc: 0.990622, Time 00:00:03
Epoch 229. Train Loss: 0.047094, Train Acc: 0.989437, Time 00:00:03
Epoch 230. Train Loss: 0.043388, Train Acc: 0.992794, Time 00:00:03
Epoch 231. Train Loss: 0.045991, Train Acc: 0.991313, Time 00:00:03
Epoch 232. Train Loss: 0.046836, Train Acc: 0.990424, Time 00:00:03
